race,feature,feature_description,category,min,max,mean,is_binary,units
White,X23126.0.0,Arm predicted mass (left),Body composition by impedance,0.8,32.7,2.747719687835722,,Kg
White,X23127.0.0,Trunk fat percentage,Body composition by impedance,2.0,75.6,31.1710078380102,,percent
White,X23128.0.0,Trunk fat mass,Body composition by impedance,0.5,59.9,13.745201523104011,,Kg
White,X23129.0.0,Trunk fat-free mass,Body composition by impedance,2.0,58.8,29.63507546654067,,Kg
White,X48.0.0,Waist circumference,Body size measures,20.0,197.0,90.28073063647014,False,cm
White,X49.0.0,Hip circumference,Body size measures,30.0,195.0,103.43732234161352,,cm
White,X50.0.0,Standing height,Body size measures,75.0,209.0,168.62924537697256,,cm
White,X51.0.0,Seated height,Body size measures,70.0,174.0,137.21219500308305,,cm
White,X3077.0.0,Seating box height,Body size measures,30.0,50.0,47.89969296359001,False,
White,X20015.0.0,Sitting height,Body size measures,20.0,124.0,89.31250203949304,False,cm
White,X21001.0.0,Body mass index (BMI),Body size measures,12.1212,74.6837,27.40864144885588,,Kg/m2
White,X21002.0.0,Weight,Body size measures,30.0,197.7,78.15967238854832,,Kg
White,X46.0.0,Hand grip strength (left),Hand grip strength,0.0,89.0,29.624983313238587,,Kg
White,X47.0.0,Hand grip strength (right),Hand grip strength,0.0,90.0,31.781758350267307,False,Kg
White,X20150.0.0,"Forced expiratory volume in 1-second (FEV1), Best measure",Spirometry,0.09,14.65,2.786083092655494,,litres
White,X20151.0.0,"Forced vital capacity (FVC), Best measure",Spirometry,0.3,17.24,3.712951109378278,,litres
White,X30600.0.0,Albumin,Blood biochemistry,18.87,59.8,45.22212206869224,,g/L
White,X30610.0.0,Alkaline phosphatase,Blood biochemistry,8.0,1416.7,83.60771892501235,,U/L
White,X30620.0.0,Alanine aminotransferase,Blood biochemistry,3.01,495.19,23.50738451171888,False,U/L
White,X30630.0.0,Apolipoprotein A,Blood biochemistry,0.419,2.5,1.545917858754775,,g/L
White,X30640.0.0,Apolipoprotein B,Blood biochemistry,0.4,2.0,1.0341664247527709,,g/L
White,X30650.0.0,Aspartate aminotransferase,Blood biochemistry,3.3,947.2,26.18098874623621,False,U/L
White,X30660.0.0,Direct bilirubin,Blood biochemistry,1.0,70.06,1.7331515836001448,,umol/L
White,X30670.0.0,Urea,Blood biochemistry,0.81,41.83,5.426348067831952,,mmol/L
White,X30680.0.0,Calcium,Blood biochemistry,1.05,3.572,2.380143417152083,False,mmol/L
White,X30690.0.0,Cholesterol,Blood biochemistry,0.601,15.46,5.710077901218611,,mmol/L
White,X30700.0.0,Creatinine,Blood biochemistry,10.7,1499.3,72.19152672742415,,umol/L
White,X30710.0.0,C-reactive protein,Blood biochemistry,0.08,79.96,2.6031695947077,,mg/L
White,X30720.0.0,Cystatin C,Blood biochemistry,0.295,7.487,0.9082774473387,,mg/L
White,X30730.0.0,Gamma glutamyltransferase,Blood biochemistry,5.0,1184.9,37.25458276739607,,U/L
White,X30740.0.0,Glucose,Blood biochemistry,0.995,36.813,5.117079517980384,,mmol/L
